Cruise,Station,Depth,Treatment,Bottle,Hours,Stationary_Sampling,Cells,Cells_sd,DOC,DOC_sd,Initial_BC,Stationary_BC
AT34,1,10,Control,A,0,192,430978731,31239496,55.2,0.2,0.4,0.2
AT34,1,10,Control,A,24,192,-999,-999,54.1,0.7,0.4,0.2
AT34,1,10,Control,A,48,192,496601007,49140409,-999,-999,0.5,0.2
AT34,1,10,Control,A,72,192,632198879,67796971,53.6,0,0.6,0.3
AT34,1,10,Control,A,96,192,1027867344,92797189,-999,-999,0.9,0.5
AT34,1,10,Control,A,120,192,1918685709,163678857,-999,-999,1.8,1
AT34,1,10,Control,A,144,192,1976409375,147162596,52.6,0.7,1.8,1
AT34,1,10,Control,A,168,192,2180380449,128078439,-999,-999,2,1.1
AT34,1,10,Control,A,182,192,-999,-999,-999,-999,2.1,1.1
AT34,1,10,Control,A,192,192,2294674585,264406146,52.3,1.1,2.1,1.1
AT34,1,10,Control,A,216,192,2197964162,253189190,-999,-999,2,1.1
AT34,1,10,Control,A,240,192,1976409375,230786935,-999,-999,1.8,1
AT34,1,10,Control,A,264,192,2157312167,239607341,-999,-999,2,1.1
AT34,1,10,Control,A,312,192,-999,-999,51.8,1.1,-999,-999
AT34,1,10,Control,A,720,192,-999,-999,-999,-999,-999,-999
AT34,1,10,Control,B,0,192,487266697,24453042,53.8,0.2,0.4,0.3
AT34,1,10,Control,B,24,192,-999,-999,52.8,0.3,0.5,0.3
AT34,1,10,Control,B,48,192,549708407,34565146,-999,-999,0.5,0.3
AT34,1,10,Control,B,72,192,561421992,88307454,52.6,0.1,0.5,0.3
AT34,1,10,Control,B,96,192,1198106075,129816040,-999,-999,1.1,0.7
AT34,1,10,Control,B,120,192,1840047436,182469535,-999,-999,1.7,1.1
AT34,1,10,Control,B,144,192,2132425900,122731071,51.6,0.5,2,1.2
AT34,1,10,Control,B,168,192,2066018173,234947749,-999,-999,1.9,1.2
AT34,1,10,Control,B,183,192,-999,-999,-999,-999,1.9,1.2
AT34,1,10,Control,B,192,192,2052183230,121527588,51.6,0.5,1.9,1.2
AT34,1,10,Control,B,216,192,2058639537,109718886,-999,-999,1.9,1.2
AT34,1,10,Control,B,240,192,1981163856,153647786,-999,-999,1.8,1.2
