Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT38,1,B,2017-09-04T17:00,42.384,-42.936,4888,1,1,-999,-999,Microlayer,0.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,214.12,2,7.54,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,1442.36,2,37.25,138.49,246.04,22.39,322.91,29.52,51.41,296.02,11.72,11.54,18.02,131.29,2.47,0.31,43.87,19.67,23.09,38.07,35.54
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,24,Deep,5,5.903,1025.3164,1025.3175,36.4084,1528.49,1528.48,-999,2.4195,21.9891,21.9877,5.173582,5.173542,97.3284,-999,0.0545,0.0624,6.3237871,-999,9,-999,65.9,2,1.1,3.6,2,0.3,16.08,2,1.03,10.9,2,0.63,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,23,Deep,5,5.934,1025.3141,1025.3162,36.4086,1528.51,1528.5,-999,2.417,21.9986,21.9934,5.174648,5.174185,97.33,-999,0.0696,0.0586,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,178.4,2,4.05,14.1,19.22,1.29,13.91,9.25,8.51,52.02,3.43,6.37,2.42,24.66,0.56,0,7.37,0,3.06,8.35,3.89
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,22,Deep,5,6.227,1025.3168,1025.3188,36.4107,1528.5,1528.51,-999,2.4165,21.9943,21.9944,5.174226,5.174572,97.3479,-999,0.0466,0.0614,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,21,Deep,5,5.857,1025.3062,1025.306,36.4095,1528.59,1528.6,-999,2.4182,22.0276,22.0307,5.1778130000000004,5.178266,97.324,-999,0.0521,0.0632,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,20,Deep,5,6.003,1025.3102,1025.3111,36.4091,1528.55,1528.55,-999,2.4136,22.0148,22.0137,5.176425,5.176405,97.3273,-999,0.0405,0.056,6.308836,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,19,Deep,5,6.057,1025.3112,1025.3118,36.4093,1528.55,1528.55,-999,2.4172,22.0123,22.0127,5.176167,5.176325,97.3457,-999,0.0617,0.059,6.3138197,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,18,Deep,5,6.015,1025.3105,1025.3101,36.4094,1528.55,1528.57,-999,2.4195,22.0132,22.0183,5.176218,5.176942,97.3696,-999,0.0477,0.0652,6.308836,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,17,Deep,10,10.889,1025.3393,1025.3363,36.4083,1528.56,1528.59,-999,2.4243,21.9846,21.9975,5.173327,5.1748,97.3522,-999,0.0738,0.0732,6.0895542,-999,9,-999,65.2,2,1.2,3.7,2,0.2,15.7,2,0.522,10.5,2,0.62,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,16,Deep,25,26.289,1025.44,1025.4403,36.4067,1528.49,1528.49,-999,2.4227,21.8626,21.8609,5.160977,5.160756,97.3392,-999,0.0866,0.0661,6.5530363,-999,9,-999,65.5,2,1.2,4.5,2,0.3,21.22,2,0.483,10.6,2,1.07,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
